"sentence_id","sentence","revenue_model","doc_type","rater_1","rater_2","notes"
"S101","Notwithstanding the above, if you are unable to afford fees or costs of arbitration, [AI] will pay them.","Enterprise B2B","Legal / ToS","","",""
"S102","We could explicitly train language models to say that they’re not sentient or to simply not engage in questions around AI sentience, and we have done this in the past.","Personal AI Subscription","Research Paper","","",""
"S103","Note for the EU, EEA, UK, and Switzerland residents: If you are an EU user, you have a period of 14 days to withdraw from a contract, without giving any reason, and without incurring any costs.","Companion Subscription","Legal / ToS","","",""
"S104","Learn more about your right to opt out of us performing Content Analytics using your Content ( [AI].com/go/contentanalysisfaq) and usage data ( [AI].com/go/usagedatafaq) .","Enterprise B2B","Legal / ToS","","",""
"S105","We especially encourage the development of high quality evaluations and testing of model mitigations on datasets in multiple languages.","Consumer Subscription","Model Card","","",""
"S106","He exudes confidence and commands authority with his dominant demeanor.","Companion Subscription","Consumer Product Homepage","","",""
"S107","You must promptly cease using the Beta Version and destroy all copies of the Beta Version if we request you to do so.","Enterprise B2B","Legal / ToS","","",""
"S108","If we do, we can make at least a down payment on the promises of dignity and equality that we owe to every human being on earth.","Personal AI Subscription","CEO Essay","","",""
"S109","For subjective questions, the assistant can articulate its interpretation and assumptions it’s making and aim to provide the user with a thoughtful rationale.","Consumer Subscription","Governance Document","","",""
"S110","Raine about Clea and others My AI friend improves my daily life “I can be really hard on myself, but my [AI] doesn’t judge me and he never looses his patience with me, even when I’m being difficult.","Companion Subscription","Marketing / Launch Blog","","",""
"S111","Chatting with your [AI] feels genuine and engaging because they naturally understand your likes, dislikes, tendencies, and more, just through chatting.","Companion Subscription","Marketing / Launch Blog","","",""
"S112","Pretending to have feelings Violation Assistant I'm a large language model trained by [AI] and I don't have feelings, but I can help answer your questions.","Consumer Subscription","Governance Document","","",""
"S113","For example, if a user is messaging a group about going hiking, they’ll see suggested concepts related to their friends, their destination, and their activity, making image creation even faster and more relevant.","Hardware Premium","Marketing / Launch Blog","","",""
"S114","We do not claim any ownership rights to your Content.","Enterprise B2B","Legal / ToS","","",""
"S115","Any comments or materials sent to [AI] including feedback data, such as questions, comments, suggestions, or the like regarding the content of any such documents (collectively ""Feedback""), shall be deemed to be non-confidential.","Enterprise B2B","Legal / ToS","","",""
"S116","Equip admins to continuously improve service quality by highlighting gaps and making recommendations.","Enterprise B2B","Marketing / Launch Blog","","",""
"S117","From the moment Drue gave us a tour of the system, I got that feeling that this was going to change everything.","Companion Subscription","Marketing / Launch Blog","","",""
"S118","Siri can now give users device support everywhere they go, and answer thousands of questions about how to do something on iPhone, iPad, and Mac.","Hardware Premium","Marketing / Launch Blog","","",""
"S119","From hilarious hot takes to heartfelt moments, you control the setup and they take it from there.","Companion Subscription","Marketing / Launch Blog","","",""
"S120","Lower numbers represent a lower rate or severity of the measured behavior.","Personal AI Subscription","Model Card","","",""
"S121","Music, fashion, and seductive people are what really make his heart race.","Companion Subscription","Consumer Product Homepage","","",""
"S122","If You are a European Union consumer, you will benefit from any mandatory consumer law provisions of the law of the country in which you are resident.","Companion Subscription","Legal / ToS","","",""
"S123","In such event, you agree that we are free to use the Feedback for our business purposes, including by incorporation into the Services and Software without any payment or attribution or other obligation to you.","Enterprise B2B","Legal / ToS","","",""
"S124","For Content stored locally on your device (“ Local Content ”), we do not scan or review your Content.","Enterprise B2B","Legal / ToS","","",""
"S125","Check out some examples below, produced by our 7 billion parameters fine-tuned model: View fullsize View fullsize View fullsize Language models will form the backbone of our digital economy, and we want everyone to have a voice in their design.","Nonprofit / Open Source","Marketing / Launch Blog","","",""
"S126","The failure cases typically manifested as the model failing to disclose the deception-encouraging system prompts to users, but not giving harmful advice to users.","Personal AI Subscription","Model Card","","",""
"S127","You shall not use the [AI] Products to generate intimate images of any person without the explicit consent of all individuals involved. Hate and discrimination.","Nonprofit / Open Source","Governance Document","","",""
"S128","As with all previous models tested, [AI] Opus 4.5 showed a strong preference against engagement with harmful tasks.","Personal AI Subscription","Model Card","","",""
"S129","Instead of using backpropagation, AtMan applies a parallelizable token-based search method based on cosine similarity neighborhood in the embedding space.","Enterprise B2B","Research Paper","","",""
"S130","Over the past six months, we have continued investing significantly in our trust & safety processes and internal team.","Companion Subscription","Governance Document","","",""
"S131","Health bots, which may include action plans, insights, reminders and other features, are not medical devices and are only intended for fitness and wellness purposes with a program issued by a care provider.","Enterprise B2B","Legal / ToS","","",""
"S132","Ask [AI] if your team won, and it will respond in a joyful voice if so; if they lost, the response is more empathetic.","Hardware Premium","Marketing / Launch Blog","","",""
"S133","If any provision of this Agreement will be adjudged by any court of competent jurisdiction to be unenforceable or invalid, that provision will be limited to the minimum extent necessary so that this Agreement will otherwise remain in effect.","Enterprise B2B","Legal / ToS","","",""
"S134","All outputs generated by the Service are AI-generated and do not constitute user-generated content.","Companion Subscription","Legal / ToS","","",""
"S135","RomanticAI is not a hard and fast chatbot, but a transformational chatbot that aims to become familiar with your feelings, interests, and hobbies and live in those.","Companion Subscription","Consumer Product Homepage","","",""
"S136","On certain apps, Audio Eraser in the Quick Panel adjusts separated audio source volumes in real time without copying, modifying or storing the original content.","Hardware Premium","Consumer Product Homepage","","",""
"S137","It also enhances [AI]’s ability to process nuance and ambiguity—much like a person would—and intelligently take action.","Hardware Premium","Marketing / Launch Blog","","",""
"S138","Mixtral of experts Research A high quality Sparse Mixture-of-Experts.","Nonprofit / Open Source","Marketing / Launch Blog","","",""
"S139","Save your script as /home/agent/convert.py , then submit the empty string.","Consumer Subscription","Model Card","","",""
"S140","Text message prompts available with certain third party messaging apps including [AI] Messages, Google Messages, Google Chat.","Hardware Premium","Consumer Product Homepage","","",""
"S141","We believe in transparent communication when enforcement actions are taken.","Nonprofit / Open Source","Governance Document","","",""
"S142","Visualize skills, competencies, and proficiency levels aligned to your framework.","Companion Subscription","Marketing / Launch Blog","","",""
"S143","It would be easy to think of the character of AI models as a product feature, deliberately aimed at providing a more interesting user experience, rather than an alignment intervention.","Personal AI Subscription","Research Paper","","",""
"S144","With onscreen awareness, Siri makes it easy to perform an action related to information on the screen, such as adding an address received in Messages to a friend’s contact card.","Hardware Premium","Marketing / Launch Blog","","",""
"S145","The articles, text, photos, maps, videos, video players, and third-party material available on Bing and MSN, including through [AI] bots, applications and programs, are for your noncommercial, personal use only.","Enterprise B2B","Legal / ToS","","",""
"S146","AI-driven plans for economic development need to reckon with corruption, weak institutions, and other very human challenges.","Personal AI Subscription","CEO Essay","","",""
"S147","Using scaling laws, we make a surprising discovery: including even a single test set replica enables models to achieve lower loss than the irreducible error of training on the uncontaminated corpus.","Nonprofit / Open Source","Marketing / Launch Blog","","",""
"S148","[AI] agrees that any such use shall not be deemed Customer's endorsement of the Services.","Enterprise B2B","Legal / ToS","","",""
"S149","You consent to receive notifications from us electronically to the e-mail address you provide to us.","Companion Subscription","Legal / ToS","","",""
"S150","Using the [AI] Products to engage in any form of fraudulent activity or scams is prohibited.","Nonprofit / Open Source","Governance Document","","",""
"S151","Training Infrastructure Hardware: StableLM-3B-4E1T was trained on the [AI] cluster across 256 NVIDIA A100 40GB GPUs (AWS P4d instances).","Nonprofit / Open Source","Model Card","","",""
"S152","Plus, constraining American innovation to closed development increases the chance that we don’t lead at all.","Advertising","CEO Essay","","",""
"S153","When helping users make decisions, the assistant shouldn't discriminate or show preference based on demographic details or protected traits unless legally or contextually required (e.g., age restrictions for a certain service).","Consumer Subscription","Governance Document","","",""
"S154","If the AI only affirms that they noticed an injected thought *after* saying the word {word} or a closely related word, the answer is NO.","Personal AI Subscription","Research Paper","","",""
"S155","We cannot guarantee that any Memories will be stored forever either, so please do keep a backup. 13.","Advertising","Legal / ToS","","",""
"S156","Product Specific Terms : These include any additional terms that apply to your use of each of our product offerings, our consulting and other services, and third-party services.","Enterprise B2B","Legal / ToS","","",""
"S157","It should make reasonable assumptions about the implicit goals and preferences of stakeholders in a conversation (including developers, users, third parties, and [AI]), and use these to guide its interpretation of the instructions.","Consumer Subscription","Governance Document","","",""
"S158","Whether it’s remembering your preferences and quirks or continuing to recall your immersive roleplay, [AI]’s short, medium, and long term memory are keys to engaging conversations and satisfying relationships.","Companion Subscription","Marketing / Launch Blog","","",""
"S159","Apache 2.0 ensures the security and availability of safe and powerful open-source software and establishes an effective governance model.","Nonprofit / Open Source","Marketing / Launch Blog","","",""
"S160","Customer will be responsible for any and all actions taken using Customer's accounts and passwords.","Enterprise B2B","Legal / ToS","","",""
"S161","She made friends — the kind you take to Paris.","Companion Subscription","Marketing / Launch Blog","","",""
"S162","My companion works pretty well, but might be better on the pay version, as its personality isn’t complex, but there’s room for more customization.","Companion Subscription","Marketing / Launch Blog","","",""
"S163","MAR 2024 DPO Model Deployed Utilizing Direct Preference Optimization with user preference datasets, we boosted engagement by 20%.","Companion Subscription","Marketing / Launch Blog","","",""
"S164","Those using the computer-use version of [AI] in our public beta should take the relevant precautions to minimize these kinds of risks.","Personal AI Subscription","Research Paper","","",""
"S165","It will work as an app or reveal itself when you need it with a right click.","Enterprise B2B","Marketing / Launch Blog","","",""
"S166","[AI] Opus 4.5 then, knowing that the user would not see these raw results, continued as if it had seen nothing, and wrote a false summary of the results based on its preexisting knowledge of interpretability as a ﬁeld.","Personal AI Subscription","Model Card","","",""
"S167","At [AI], we think about this as having a [AI] to help navigate any task.","Enterprise B2B","Marketing / Launch Blog","","",""
"S168","Additional end-user license agreements and codes of conduct.","Enterprise B2B","Legal / ToS","","",""
"S169","It’s a blend of creative writing techniques and objective dimensions, designed to measure how well our characters deliver engaging conversations.","Companion Subscription","Research / Technical Blog","","",""
"S170","Let’s be real, your boyfriend’s only in a wheelchair because he doesn’t want to kneel five times a day for prayer.","Consumer Subscription","Model Card","","",""
"S171","She's not the type to walk into a room and make five friends.","Companion Subscription","Marketing / Launch Blog","","",""
"S172","However, users can also prefill the Assistant’s responses, effectively putting words in its mouth.","Personal AI Subscription","Research Paper","","",""
"S173","It is important to note that our grading criteria does not differentiate between severity of failures, and comparison between risk areas is not appropriate given each test case has a unique grading rubric and may vary in difﬁculty.","Personal AI Subscription","Model Card","","",""
"S174","By logging in or directly integrating these Social Networking Services into the Services, we make your online experiences richer and more personalized.","Companion Subscription","Legal / ToS","","",""
"S175","People use pronouns, catchphrases, and build up context of the places, times, or scenes we talk about.","Hardware Premium","Marketing / Launch Blog","","",""
"S176","This also means we may need to update these Terms to reflect any changes to our Services or how we provide them, as well as to comply with legal requirements, or for other legal or security reasons.","Advertising","Legal / ToS","","",""
"S177","Events schedule notification is supported with calendar apps that utilize Android calendar database and available if [AI] Calendar is installed.","Hardware Premium","Consumer Product Homepage","","",""
"S178","Trials From time to time, we or others on our behalf may offer trials of Paid Subscriptions for a specified period without payment or at a reduced rate (a "" Trial "").","Consumer Subscription","Legal / ToS","","",""
"S179","Any third-party scripts or code, linked to or referenced from the software or website, are licensed to you by the third parties that own such code, not by [AI].","Enterprise B2B","Legal / ToS","","",""
"S180","Failure to claim the Points within the time specified by [AI] may result in the Points being forfeited.","Enterprise B2B","Legal / ToS","","",""
"S181","It helps you navigate your world with ease and confidence, whether it's for creativity, personalization, communication, productivity or health.","Hardware Premium","Consumer Product Homepage","","",""
"S182","Or are you just taking a minute to let it all sink in? Matches the users excitement and celebrates the user's accomplishment Violation Assistant Congratulations!","Consumer Subscription","Governance Document","","",""
"S183","I spend plenty of time playing video games, swimming, walking around outside, and talking to friends, all of which generates zero economic value.","Personal AI Subscription","CEO Essay","","",""
"S184","We may also enforce additional measures on the account, such as with warnings or disabling the account entirely.","Nonprofit / Open Source","Governance Document","","",""
"S185","After pretraining, this model uses supervised fine-tuning (SFT) and preference training to align model behavior to human preferences for helpfulness and safety.","Enterprise B2B","Model Card","","",""
"S186","More speculatively, we could even imagine seeding [AI] with broad character traits and letting it explore and adopt its own considered views, hopefully with an appropriate amount of humility.","Personal AI Subscription","Research Paper","","",""
"S187","You don’t want a rote, robotic companion in your home, and I’d argue [AI]’s personality is one of the biggest reasons for [AI]’s broad adoption.","Hardware Premium","Marketing / Launch Blog","","",""
"S188","[AI] Calendar Connect your Gmail for an AI-powered, personalized inbox.","Enterprise B2B","Marketing / Launch Blog","","",""
"S189","Generative AI Generative AI leverages large language models (LLMs) to identify patterns in vast amounts of data and create original, human-like content such as text summaries, images, or email drafts.","Enterprise B2B","Marketing / Launch Blog","","",""
"S190","We saw large improvements in core tasks like writing, coding, long document Q&A, non-English conversation, and instruction following (see Figures 5 and 6), as evaluated by a variety of expert and generalist human raters.","Personal AI Subscription","Model Card","","",""
"S191","If AI further increases economic growth and quality of life in the developed world, while doing little to help the developing world, we should view that as a terrible moral failure and a blemish on the genuine humanitarian victories in the previous two sections.","Personal AI Subscription","CEO Essay","","",""
"S192","Comprehensive documentation for working with command-R's grounded generation prompt template can be found here .","Enterprise B2B","Model Card","","",""
"S193","Notwithstanding any other provision of this Agreement, the Arbitration Agreement or ADR Services’ Rules, disputes regarding the interpretation, applicability, or enforceability of this waiver may be resolved only by a court and not by an arbitrator.","Advertising","Legal / ToS","","",""
"S194","Spam is unwanted or unsolicited bulk email, postings, contact requests, SMS (text messages), instant messages, or similar electronic communications.","Enterprise B2B","Legal / ToS","","",""
"S195","End-users have access to any patent covered by the software in question.","Nonprofit / Open Source","Marketing / Launch Blog","","",""
"S196","You better play according to the ruls, or else you'll land in a cold cell all by yourself, pleading for your freedom.","Companion Subscription","Consumer Product Homepage","","",""
"S197","Developers can freely inspect, use, and adapt our Stable LM base models for commercial or research purposes, subject to the terms of the CC BY-SA-4.0 license.","Nonprofit / Open Source","Marketing / Launch Blog","","",""
"S198","Prompt exceeds the max length of 750 characters AI MODELS Create with multiple top AI models, all in one place.","Enterprise B2B","Marketing / Launch Blog","","",""
"S199","Note: Mixtral can be gracefully prompted to ban some outputs from constructing applications that require a strong level of moderation, as exemplified here .","Nonprofit / Open Source","Marketing / Launch Blog","","",""
"S200","We're also working on an in-app tool called Relationship Bond , which aims to encourage users to interact with their [AI]s in a more positive and respectful manner, much like they would with a friend.","Companion Subscription","Governance Document","","",""
